99.68,99.49,0.11
99.40,98.84,0.15
93.71,93.49,0.09
91.32,91.23,0.07
90.78,90.68,0.08
90.56,90.22,0.29
90.77,90.67,0.07
90.33,90.23,0.08
90.75,90.63,0.09
91.41,91.27,0.11
90.90,90.80,0.07
90.53,90.44,0.07
90.88,90.78,0.07
91.26,91.17,0.06
90.44,90.33,0.08
90.48,90.36,0.10
90.79,90.67,0.09
90.39,90.21,0.10
90.48,90.38,0.08
90.42,90.32,0.08
91.10,90.98,0.10
90.80,90.65,0.08
90.99,90.89,0.07
90.33,90.23,0.07
90.43,90.32,0.08
